Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX
Date,,,,,,,,,,,,,,,
2020-01-02,72.7960205078125,68.18681335449219,329.80999755859375,72.85661316556887,68.18681335449219,329.9800109863281,71.54538716413333,67.08132380627873,324.7799987792969,71.79987336808419,67.176977721624,326.1000061035156,135480400,27278000,4485800
2020-01-03,72.08829498291016,67.83010864257812,325.8999938964844,72.85176099103282,68.43940351728152,329.8599853515625,71.86289207131898,67.12267404619415,325.5299987792969,72.0204315021118,67.15655543577822,326.7799987792969,146322800,23408000,3806900
2020-01-06,72.6626968383789,69.63805389404297,335.8299865722656,72.70147701872006,69.66345923216974,336.3599853515625,70.95398721004992,67.30600805367692,321.20001220703125,71.2060546839858,67.33738843542059,323.1199951171875,118387200,46768000,5663100
2020-01-07,72.32098388671875,69.50354766845703,330.75,72.92932920607493,69.92153470711604,336.70001220703125,72.10042570127877,69.32669091744489,330.29998779296875,72.67241690140098,69.77008329725511,336.4700012207031,108872000,34330000,4703200
2020-01-08,73.48436737060547,69.99825286865234,339.260009765625,73.78733072188223,70.3375228813182,342.70001220703125,72.02287245990904,69.37999541559134,331.04998779296875,72.02287245990904,69.48909698901235,331.489990234375,132079200,35314000,7104500
2020-01-09,75.04521942138672,70.73309326171875,335.6600036621094,75.2391129669444,71.17598393013975,343.4200134277344,74.21388993487531,70.2558194812113,334.6099853515625,74.46595006478736,70.83970143414861,342.0,170108400,33200000,4709300
2020-01-10,75.21488189697266,71.18992614746094,329.04998779296875,75.78203573703135,71.48784974028622,338.5,74.71075419050038,70.72362186567442,327.2699890136719,75.28032670743771,71.21533908846308,337.1300048828125,140644800,26258000,4718300
2020-01-13,76.82180786132812,71.7414321899414,338.9200134277344,76.8484724820647,71.81366484523728,340.8500061035156,75.41363481692566,71.01107809709713,331.510009765625,75.53240147855318,71.50328944184061,331.79998779296875,121532000,30730000,6290000
2020-01-14,75.78445434570312,71.2711410522461,338.69000244140625,76.96965039455488,71.8709640363411,345.3800048828125,75.66085034178165,71.13064389247113,335.5199890136719,76.758789108947,71.73993876603046,344.3999938964844,161954400,26076000,7199400
2020-01-15,75.45964813232422,71.7000732421875,339.07000732421875,76.46791053440658,71.77879025901605,343.1700134277344,75.02580276538632,71.32443609399188,336.6000061035156,75.58325948297235,71.39219126260538,338.67999267578125,121923600,21550000,5158000
2020-01-16,76.40492248535156,72.24610137939453,338.6199951171875,76.51641831155123,72.27300427999972,343.55999755859375,75.64145640571084,71.73993307286825,335.8500061035156,76.00501238616502,72.01144787956945,343.5,108829200,26080000,5016000
2020-01-17,77.25080871582031,73.70880126953125,339.6700134277344,77.2532273929308,73.76011367358568,341.57000732421875,76.34676342582375,72.56445103890334,337.3800048828125,76.65457152353868,72.86286877720866,341.0,137816400,52424000,6066500
2020-01-21,76.72727966308594,73.84481048583984,338.1099853515625,77.32108332706851,74.22493276033909,341.0,76.58912661521823,73.24497990845329,332.5899963378906,76.87754828501977,73.682891350434,340.0,110843200,48930000,14350300
2020-01-22,77.00116729736328,73.9255142211914,326.0,77.55619082400978,74.75799906007849,336.29998779296875,76.9066391826675,73.86523925075431,323.6000061035156,77.21444728071641,74.21746279473615,332.54998779296875,101832400,28458000,21730000
2020-01-23,77.37199401855469,73.96636962890625,349.6000061035156,77.45197308761732,74.4052845476194,349.8800048828125,76.50430285128039,73.74866059227482,325.010009765625,77.05448902284745,74.10885847916708,326.0400085449219,104472000,26650000,18200300
2020-01-24,77.14899444580078,73.04370880126953,353.1600036621094,78.36569234251847,74.44014342272132,359.8500061035156,76.95751957755354,72.8947432066111,345.8800048828125,77.61919405852058,74.37139241036722,348.4599914550781,146537600,29786000,17939700
2020-01-27,74.88040161132812,71.32793426513672,342.8800048828125,75.56388109821151,71.56955866813779,351.8999938964844,73.89395147066809,70.71863939255725,341.0199890136719,75.14942943338237,71.31846997752507,345.95001220703125,161940000,34132000,7709500
2020-01-28,76.99871826171875,72.26304626464844,348.5199890136719,77.1707993206053,72.47726605072009,352.3999938964844,75.66567993131815,71.25967970809778,342.7799987792969,75.76505276717205,71.82662476293184,345.8800048828125,162234000,29724000,6821600
2020-01-29,78.6104736328125,72.57191467285156,343.1600036621094,79.46119674204053,72.94257262840148,349.3999938964844,77.89305878154525,72.00845893497106,338.54998779296875,78.63713824302992,72.65959425732443,349.0,216229200,21566000,7643500
2020-01-30,78.49658966064453,72.44986724853516,347.739990234375,78.5499115052326,72.49968208968686,348.20001220703125,77.25565298284903,71.49084223477435,339.25,77.6894985639716,71.64528116546836,341.1000061035156,126743200,27110000,5328100
2020-01-31,75.01612091064453,71.38024139404297,345.0899963378906,78.20813732112357,73.21807678829367,347.3900146484375,74.72042850588934,71.09527131841374,340.9800109863281,77.78398880426934,73.12790379399927,347.3900146484375,199588400,43822000,5230000
